designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,pmra,pmdec,ph_qual,w1_w2_color,w3mpro_1,w1mpro_1,snr_w1w2,w1_w2_zscore,w3_zscore,w1_zscore,anomaly_score,has_rosat,has_2mass,w1_w2_color_zscore_tier2,w3mpro_zscore_tier2,w1mpro_zscore_tier2,tier2_stealth_score,has_ps1,ps1_coverage,w1_w2_color_zscore_tier3,w3mpro_zscore_tier3,w1mpro_zscore_tier3,tier3_stealth_score,no_gaia_optical,no_rosat_xray,no_2mass_nir,no_ps1_deep_optical,spitzer_coverage,invisibility_count,final_stealth_score,pm_total,prime_score,has_nvss_radio,nvss_separation,gal_l,gal_b,w34_yso_flag
J051616.63-713351.2,79.0692929,-71.5642414,13.683,10.912,5.857,3.359,0.026,0.021,0.013,0.019,41.7,52.8,84.5,58.1,336.0,121.0,AAAA,2.771,5.857,13.683,2201.76,4.840688,4.8535886,0.7189178,22.521366,0,0,3.5477598,-6.189541,-1.5358287,28.164894,0,0,3.272945,-6.054521,-1.9776062,26.790821,1,1,1,1,0,4,45.04273223876953,357.1232280320058,70.0054144454956,0,999.9,282.72389173736786,-33.10097732425308,True
J003323.05+562108.9,8.3460432,56.3524883,15.675,12.338,9.437,5.52,0.052,0.024,0.045,0.04,21.0,46.1,23.9,26.9,124.0,-61.0,AAAA,3.337,9.437,15.675,968.1,6.0138893,1.3915149,-0.4745527,19.654388,0,0,5.3886366,-1.0849295,0.12907274,29.251661,0,1,5.156189,-1.150631,-0.14397924,28.089422,1,1,1,1,0,4,39.30877685546875,138.19189556555045,65.5434545288086,0,999.9,120.41707019488325,-6.43107834440926,True
J121409.49-174220.8,183.5395619,-17.7057966,16.275,12.954,9.749,6.657,0.075,0.028,0.049,0.073,14.5,39.1,22.1,14.9,217.0,362.0,AAAA,3.3209991,9.749,16.275,566.95,5.980723,1.089793,-0.8340313,18.742826,0,0,5.336595,-0.6400593,0.6305485,28.02853,0,1,5.10295,-0.7232538,0.40831736,26.860306,1,1,1,1,0,4,37.485652923583984,422.0580528789849,62.38361684801094,0,999.9,290.4913159668964,44.26356891100868,True
J055348.26-573136.0,88.4510918,-57.5266895,13.95,11.13,8.062,6.488,0.025,0.021,0.019,0.054,43.9,52.7,57.0,20.3,122.0,356.0,AAAA,2.8199997,8.062,13.95,2313.53,4.9422545,2.7212217,0.55894953,19.467546,0,0,3.7071283,-3.0454993,-1.3126717,24.537035,0,0,3.4359813,-3.0341082,-1.7318338,23.181301,1,1,1,1,0,4,38.93509292602539,376.3243282064023,60.894483000198136,0,999.9,265.9248618175755,-30.237717342859135,True
J061400.62-092009.2,93.5026124,-9.335908,13.569,10.77,8.148,4.513,0.025,0.021,0.021,0.032,43.3,52.8,51.3,33.9,167.0,579.0,AAAA,2.7989998,8.148,13.569,2286.24,4.898726,2.638055,0.78721845,19.44048,0,0,3.6388273,-2.9228752,-1.6311088,24.257465,0,1,3.3661087,-2.9163058,-2.0825422,22.893871,1,1,1,1,0,4,38.880958557128906,602.6026883444846,60.64651760217132,0,999.9,217.11576900835914,-12.518286656693885,True
J024626.34-024715.2,41.6097542,-2.7875736,12.402,9.989,6.295,4.339,0.024,0.021,0.015,0.021,46.1,52.8,72.0,50.9,-52.0,65.0,AAAA,2.413,6.295,12.402,2434.08,4.0986285,4.430016,1.4864049,20.427315,0,0,2.3833895,-5.56501,-2.60648,22.263384,0,1,2.081777,-5.454548,-3.1567597,20.755322,1,1,1,1,0,4,40.85462951660156,83.24061508662703,60.571073721313475,0,999.9,176.39177667017145,-53.27616111755028,True
J044024.40-731441.6,70.1016701,-73.2448907,10.787,8.605,5.619,4.389,0.023,0.019,0.014,0.022,48.1,55.8,77.6,48.8,164.0,22.0,AAAA,2.1820002,5.619,10.787,2683.98,3.6198132,5.0837483,2.4540029,20.939064,0,0,1.6320776,-6.5288973,-3.9562871,20.781887,0,0,1.3131739,-6.3805337,-4.64336,19.187368,1,1,1,1,0,4,41.87812805175781,165.46903033498444,60.15374480867005,0,999.9,285.68834946050697,-35.13122555867382,True
J050343.02-664456.4,75.9292572,-66.7490213,15.092,12.54,6.205,3.147,0.031,0.022,0.014,0.017,35.2,50.2,75.8,65.3,339.0,-696.0,AAAA,2.552,6.205,15.092,1767.0400000000002,4.386747,4.5170517,-0.12525885,19.810558,0,0,2.8354774,-5.6933384,-0.35819513,23.086231,0,0,2.5442696,-5.5778303,-0.6806281,21.630192,1,1,1,1,0,4,39.6211166381836,774.1685862911256,59.843734570312506,0,999.9,277.38057178439186,-35.31494967187977,True
J173427.73-180839.5,263.6155504,-18.1443193,13.505,10.859,7.717,4.927,0.033,0.022,0.022,0.029,33.1,50.4,49.8,37.1,-273.0,42.0,AAAA,2.646,7.717,13.505,1668.24,4.5815887,3.0548575,0.8255629,19.152617,0,0,3.1412055,-3.5374243,-1.6845996,22.641306,0,1,2.8570342,-3.50669,-2.141454,21.22045,1,1,1,1,0,4,38.30523300170898,276.21187519728403,58.57636230621336,0,999.9,7.847698681630676,7.859662389516195,True
J101745.50-705342.3,154.4396089,-70.8950986,17.033,13.965,8.779,6.788,0.101,0.033,0.02,0.048,10.8,33.4,53.1,22.8,267.0,68.0,AAAA,3.0680008,8.779,17.033,360.72,5.45631,2.0278401,-1.2881738,18.122515,0,0,4.5137353,-2.0231512,1.2640812,25.336182,0,0,4.2611523,-2.0519602,1.106054,24.073269,1,1,1,1,0,4,36.24502944946289,275.52313877422347,58.48498531885804,0,999.9,290.94437018386543,-11.691837577772835,True
J055400.91+032302.7,88.5038256,3.3840886,13.615,10.95,8.107,3.762,0.027,0.02,0.023,0.023,40.4,53.7,48.1,47.1,474.0,319.0,AAAA,2.665,8.107,13.615,2169.48,4.620972,2.6777039,0.75965863,18.639132,0,0,3.203002,-2.981335,-1.5926626,22.130077,0,1,2.9202528,-2.972467,-2.0401998,20.716331,1,1,1,1,0,4,37.278263092041016,571.3466548427496,57.147577320098875,0,999.9,203.22687513485056,-11.149088619398709,True
J232658.03+354634.2,351.7417997,35.7761832,16.933,13.854,9.362,6.701,0.104,0.037,0.032,0.08,10.4,29.7,34.2,13.6,-339.0,-364.0,AAAA,3.0790005,9.362,16.933,308.88,5.47911,1.4640441,-1.2282604,17.405134,0,0,4.549511,-1.1918694,1.1805015,24.447384,0,1,4.297751,-1.2533658,1.0140041,23.188583,1,1,1,1,0,4,34.81026840209961,497.41029341982863,56.24643516513939,0,999.9,104.26885346983346,-24.01555374581886,True
