ra0,dec0,pm_ra_fit,pm_dec_fit,parallax_mas,parallax_err_mas,parallax_snr,distance_pc,distance_err_pc,rms_ra_mas,rms_dec_mas,rms_total_mas,n_epochs,baseline_years,ref_mjd,fit_success,designation,skip_reason,w1_w2_color,T_eff_K,pm_total,variability_flag
-98.65878604441285,-48.25024874897217,-4.908746603699278,-3.533829552341615,75.12080560667499,2.2213134109984716,33.81819298201081,13.311891318576903,0.3936310649613363,94.937761868377,131.2999646894661,162.0273413841988,500,6.995097551622169,57872.89566001001,True,J043338.57-731619.4,,3.6709995,277.6539536403536,303.9358484943821,VARIABLE
-35.59806668111232,-19.8948066293269,-3.0055817438641803,1.4513128466084937,32.756129120619505,1.4070859534311193,23.279408795706527,30.528637749523174,1.311400904440221,72.5716856999391,79.8539045261288,107.90410387653863,500,6.4489976823545705,58036.76948581,True,J044024.40-731441.6,,2.1820002,465.84525315486167,165.46903033498444,FADING
20.952336312958145,67.78686960859302,2.2568757510688897,-31.686935873403943,33.24106292014018,2.2681070964354157,14.655861256455761,30.083273883342564,2.0526445602158785,145.13221835089985,153.628744890371,211.3413165002148,500,3.527949201040384,57487.14194891,True,J054235.56-713535.8,,3.1399994,324.14534597832017,536.6153184544772,VARIABLE
-40.10432356866925,-49.7031051575251,1.4995654773522347,9.514361000988599,32.72455115715056,3.4166806560670566,9.57787819562271,30.558096738982854,3.1904870906531824,123.61571568613998,130.787803772631,179.96192591841427,500,5.51975773779604,57340.588887055,True,J071217.21-565118.6,,1.5430002,267.4258655033317,297.88924116187883,NORMAL
-326.3391631245806,52.3099901535109,0.7804731796156137,-5.558522316683004,84.97608990632169,8.95392022586545,9.490378265918517,11.768016169047174,1.2399944279679582,215.17276915654128,214.17202681346353,303.5934413914127,416,9.43883362245037,58773.22685968,True,J070309.70-333124.8,,1.948,268.3321504387535,562.0756176885811,VARIABLE
-1.8516873637880944,50.14481936230528,-0.5581971668669365,6.16430448083621,-24.007580372344307,3.2210386836242404,7.4533660506465935,,,157.87871837727144,158.15327433249917,223.46844944765812,500,6.990565081724862,58199.94962521,True,J142032.17+801007.8,,1.6920004,274.9169860124502,331.53129565698623,NORMAL
18.422781078471445,33.07161178513418,6.304437364614545,-1.064696202729222,19.248389224805667,2.6900984596359856,7.155273129820791,51.952399149913596,7.260715028947439,116.65450689504114,160.44492772806382,198.37048372323142,393,9.437009229322388,58771.57165815,True,J092404.30+722921.8,,1.717,218.6710335863008,187.0320828093405,NORMAL
-26.09766551973734,19.287545976210293,2.3705535811635485,-3.2030771483866403,34.94848925101695,5.015474407431638,6.968132306533618,28.61354013953268,4.106342830589397,153.10121344905082,186.40184009176792,241.2169719343331,500,5.43614434042437,57579.328711935,True,J164031.79+575550.9,,1.8540001,220.0148836555288,55.60575509783138,NORMAL
30.920360458234487,54.29854124201173,4.089093664434726,0.7364142845758943,50.3698662951867,7.802198802578281,6.455855274867091,19.85313985428544,3.0752145159719624,183.04579079593566,209.5635502195747,278.24924637587367,457,9.434033643477083,58561.61969789,True,J064954.38-350303.3,,1.7950001,305.20474367959,376.8766376415497,NORMAL
38.24328067927593,39.6771692583812,-0.5416046385121502,0.3252066680138701,60.37638212309585,9.636699498145893,6.26525524996523,16.562767837946833,2.643590273203753,284.55085262430237,304.6594789090388,416.87718313472675,500,8.517571275947988,58234.633149949994,True,J132546.84+672327.6,,2.1689997,254.792251483758,435.7843503385591,VARIABLE
15.87385316566127,35.163596891445515,-0.6312559719004938,8.526678544489842,48.150942595162704,7.73036475176568,6.228806031974704,20.768025423877393,3.3341904238577413,332.4617761673907,339.204720829002,474.9638673047218,500,8.995759794058865,58152.987992919996,True,J105027.24-701039.5,,2.276,255.5811535627325,110.0,VARIABLE
-60.71249622381029,-13.006381696232502,0.14323539384536232,6.0388671677460835,36.76514237026933,5.944256100226028,6.184986270842428,27.199677072613884,4.397694009579288,200.46408048478048,244.08944612915684,315.856779690174,500,6.5187387786995314,57851.619314955,True,J065027.17-555224.5,,1.9870005,255.0063054407891,217.5890622251036,NORMAL
1.8932680021012644,-14.908087611513054,-5.155954087294674,-0.5155978828898711,31.641650981530304,5.271762614401142,6.002100871365717,31.60391348048541,5.265475232390465,267.97135502675553,288.4554077814947,393.7196583779681,389,9.434199250239564,58770.85207206,True,J091413.07+724437.7,,2.243,304.9950221580249,193.1657319505714,VARIABLE
-22.276861391371657,52.38279926113154,-3.7417448199913323,6.598315220365874,41.455672879294205,6.969952151128822,5.947770082263798,24.122150975855185,4.055662986669112,100.11220986897108,135.78249668150428,168.69896552709395,281,10.51582040796715,58696.81532216,True,J024626.34-024715.2,,2.413,246.2492527210198,83.24061508662703,VARIABLE
-5.408047141938738,42.15513719390443,-2.31615504673006,11.50256879924823,23.76085161112955,4.0240586322076854,5.904698162435529,42.08603363069703,7.12755037987203,147.2036635096755,174.81440318758007,228.53663625882737,500,6.953157486735126,57813.769153085,True,J055348.26-573136.0,,2.8199997,314.12869994433674,376.3243282064023,VARIABLE
67.21148740333618,-16.049942424837724,-1.8594086528255858,-2.781499658965523,63.02870599022987,10.751868080078799,5.862116752251665,15.865786617212336,2.7064944776335644,293.8210325746374,290.0607060007596,412.87529878752156,500,9.957888110280626,58373.85020688501,True,J053400.20-355942.2,,2.4630003,273.05199672671057,347.3110997362451,VARIABLE
