designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,pmra,pmdec,ph_qual,w1_w2_color,w3mpro_1,w1mpro_1,snr_w1w2,w1_w2_zscore,w3_zscore,w1_zscore,anomaly_score,has_rosat,has_2mass,w1_w2_color_zscore_tier2,w3mpro_zscore_tier2,w1mpro_zscore_tier2,tier2_stealth_score,has_ps1,ps1_coverage,w1_w2_color_zscore_tier3,w3mpro_zscore_tier3,w1mpro_zscore_tier3,tier3_stealth_score,no_gaia_optical,no_rosat_xray,no_2mass_nir,no_ps1_deep_optical,spitzer_coverage,invisibility_count,final_stealth_score,pm_total,prime_score,has_nvss_radio,nvss_separation,T_eff_K,SolidAngle_scale,filename,cluster,umap_x,umap_y,vote,lamost_match,lamost_class,lamost_subclass,lamost_teff,lamost_score,lamost_category,lamost_is_known_ir,lamost_temp_mismatch,ir_teff,legacy_match,legacy_mag_g,legacy_mag_r,legacy_mag_z,legacy_type,legacy_score,legacy_is_bright,legacy_is_faint,score,gal_l,gal_b,pm_category,galactic_region,est_distance_pc,kinematic_score,kinematic_flag
J104200.37-060111.5,160.5015682,-6.0198695,13.571,11.693,8.243,6.586,0.025,0.023,0.024,0.08,43.9,47.1,46.2,13.5,184.0,242.0,AAAA,1.8780003,8.243,13.571,2067.69,2.9896843,2.546184,0.7860202,13.574349,0,0,0.6433383,-2.7874174,-1.6294372,9.095079,0,1,0.3016791,-2.7861743,-2.080701,7.386784,1,1,1,1,0,4,27.14869880676269,304.00657887618155,37.34575170750469,0,999.9,289.7384603554652,4.403099724015463e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2310.999870300293,False,99.0,99.0,99.0,,0.0,False,False,108.9,254.76183192259512,44.41301853362795,high,halo,34.698338587755856,-10.0,HIGH_PM|HALO
J055348.26-573136.0,88.4510918,-57.5266895,13.95,11.13,8.062,6.488,0.025,0.021,0.019,0.054,43.9,52.7,57.0,20.3,122.0,356.0,AAAA,2.8199997,8.062,13.95,2313.53,4.9422545,2.7212217,0.55894953,19.467546,0,0,3.7071283,-3.0454993,-1.3126717,24.537035,0,0,3.4359813,-3.0341082,-1.7318338,23.181301,1,1,1,1,0,4,38.93509292602539,376.3243282064023,60.894483000198136,0,999.9,314.12869994433674,3.858116355357104e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,1372.0001220703125,False,99.0,99.0,99.0,,0.0,False,False,108.9,265.92485732163925,-30.237716542118754,high,halo,28.030404669892917,-10.0,HIGH_PM|HALO
J100443.67+002609.8,151.1819799,0.4360578,13.277,11.625,8.606,6.861,0.025,0.022,0.026,0.107,43.8,50.0,42.3,10.1,141.0,202.0,AAAA,1.6520004,8.606,13.277,2190.0,2.5212333,2.1951416,0.96216476,11.818577,0,0,-0.09171095,-2.269827,-1.8751603,4.8938932,0,1,-0.45028713,-2.2889364,-2.3513265,3.1010122,1,1,1,1,0,4,23.63715362548828,246.3432564532669,31.446871074321898,0,999.9,277.007332887972,3.836503016847975e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2423.999786376953,False,99.0,99.0,99.0,,0.0,False,False,108.8,239.5887122946359,41.926949772541555,high,halo,42.8204260941569,-10.0,HIGH_PM|HALO
J043338.57-731619.4,68.4107443,-73.2720817,14.103,10.432,5.502,3.798,0.025,0.021,0.015,0.021,43.8,52.9,73.8,52.7,296.0,69.0,AAAA,3.6709995,5.502,14.103,2317.02,6.7062016,5.1968946,0.46728247,28.38123,0,0,6.474948,-6.6957245,-1.1847954,43.235813,0,0,6.267502,-6.5408006,-1.5909982,42.19858,1,1,1,1,0,4,56.76245880126953,303.9358484943821,98.43745037691576,0,999.9,277.6539536403536,6.475350905856407e-16,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,1031.6001892089844,False,99.0,99.0,99.0,,0.0,False,False,108.8,285.96780321174714,-35.562513911289756,high,halo,34.70641340600541,-10.0,HIGH_PM|HALO
J133152.18-304910.9,202.9674238,-30.819711,13.685,11.369,8.588,6.811,0.025,0.021,0.026,0.079,43.5,51.6,42.1,13.8,79.0,26.0,AAAA,2.316,8.588,13.685,2244.6,3.8975673,2.2125485,0.7177191,15.729243,0,0,2.067903,-2.2954922,-1.5341566,15.482331,0,0,1.7590297,-2.3135924,-1.9757645,13.937964,1,1,1,1,0,4,31.45848655700684,83.16850365372699,46.03005753021241,0,999.9,273.1216902417386,4.165507138132848e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2092.0000076293945,False,99.0,99.0,99.0,,0.0,False,False,108.5,313.0865128956717,31.253559222106876,moderate,halo,126.83314888854981,5.0,HALO
J233049.80+220729.3,352.7075188,22.124818,13.603,11.835,8.654,6.898,0.025,0.022,0.026,0.089,43.4,48.6,42.4,12.2,120.0,-251.0,AAAA,1.7679996,8.654,13.603,2109.24,2.7616756,2.1487224,0.76684827,12.274959,0,0,0.2855687,-2.2013848,-1.6026922,6.4921365,0,1,-0.06432447,-2.2231855,-2.0512457,4.7426705,1,1,1,1,0,4,24.549917221069336,278.2103520719529,33.23076598644607,0,999.9,274.194720869599,3.819455182529823e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2366.000175476074,False,99.0,99.0,99.0,,0.0,False,False,108.4,99.36786148666084,-37.03106245074459,high,halo,37.91563875388401,-10.0,HIGH_PM|HALO
J022929.28-704728.3,37.3720214,-70.7911966,14.09,12.188,8.702,7.065,0.025,0.021,0.022,0.081,43.2,51.9,48.7,13.5,77.0,-659.0,AAAA,1.9020004,8.702,14.09,2242.08,3.0394316,2.1023042,0.47507092,12.746822,0,0,0.7213972,-2.1329439,-1.1956602,8.286665,0,0,0.38153455,-2.157436,-1.6029642,6.5873523,1,1,1,1,0,4,25.49364471435547,663.4832326442018,35.191429203187866,0,999.9,293.2601632885946,2.7450011886598707e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2298.999786376953,False,99.0,99.0,99.0,,0.0,False,False,108.2,291.9575595715385,-44.18859436768503,very_high,halo,15.898703520677792,-25.0,HIGH_PM|HALO
J070016.24-693931.3,105.0676841,-69.6587003,14.847,12.752,9.021,7.133,0.025,0.022,0.023,0.057,42.7,50.1,46.8,19.2,-16.0,-53.0,AAAA,2.0950003,9.021,14.847,2139.27,3.4394805,1.793812,0.02152832,13.030687,0,0,1.3491162,-1.6780914,-0.5629645,10.354733,0,0,1.0237004,-1.7204689,-0.9061493,8.7276535,1,1,1,1,0,4,26.06137466430664,55.36244214266564,36.98109221233361,0,999.9,254.27810717112663,3.8001842291374285e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2202.499866485596,False,99.0,99.0,99.0,,0.0,False,False,107.7,280.4803528586497,-24.558851129315702,moderate,thick_disk,190.53572780565122,0.0,NORMAL
J025220.16-430049.3,43.0840152,-43.0137145,13.886,12.079,8.801,7.023,0.025,0.022,0.024,0.069,42.6,48.6,44.9,15.7,84.0,-71.0,AAAA,1.8069992,8.801,13.886,2070.36,2.8425138,2.0065653,0.59729403,12.134684,0,0,0.41241217,-1.991783,-1.3661625,6.6724854,0,0,0.06543824,-2.0218256,-1.7907456,4.937616,1,1,1,1,0,4,24.26936721801757,109.98636279102968,33.04031264751037,0,999.9,270.3112722767645,3.542303485109301e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2346.500396728516,False,99.0,99.0,99.0,,0.0,False,False,107.6,253.85002875495655,-60.84997574231773,moderate,halo,95.90755561935335,5.0,HALO
J065027.17-555224.5,102.6132428,-55.8734771,14.611,12.624,8.872,6.99,0.026,0.022,0.022,0.068,42.5,49.0,49.6,15.9,164.0,143.0,AAAA,1.9870005,8.872,14.611,2082.5,3.215619,1.937904,0.16292341,12.716637,0,0,0.9978542,-1.8905462,-0.7602118,9.028003,0,0,0.664354,-1.9245695,-1.1233863,7.360502,1,1,1,1,0,4,25.433273315429688,217.5890622251036,35.54045867430878,0,999.9,255.0063054407891,4.300467139312979e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2256.499767303467,False,99.0,99.0,99.0,,0.0,False,False,107.5,265.60164078316217,-22.309497613917234,high,thick_disk,48.4791059756406,-15.0,HIGH_PM
