designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,w1_w2_color,T_eff_K,pmra_value,pmdec_value,pm_total,pm_angle,pm_class,n_epochs,baseline_years,rms_w1,rms_w2,chi2_w1,chi2_w2,trend_w1,trend_w2,is_variable,is_fading,variability_flag,variability_score,ps1_detected,rosat_detected,detection_count,detection_fraction,mag_mean,mag_std,mag_min,mag_max,mag_range,color_mean,color_std,if_score,xgb_score,lgb_score,ml_ensemble_score,improved_composite_score,rank,p_false_positive_proxy,golden_flag,neowise_parallax_mas,neowise_parallax_err_mas,parallax_snr,distance_pc,distance_err_pc
J233511.78+110741.9,353.7990993,11.12833,14.556,12.226,7.974,6.155,0.031,0.024,0.021,0.053,34.8,44.6,51.1,20.6,2.33,262.4565397530719,150.0,-389.0,416.9184572551328,158.91315561367418,VERY_HIGH,335,10.19164727385998,0.0626783804463602,0.0370588523699572,0.7604475054337371,0.757230801426759,-0.0003704739020988,-0.0001895946852656,False,False,NORMAL,0.7974948956436246,False,False,0,0.0,14.556,0.0626783804463602,14.430643239107278,14.68135676089272,0.2507135217854426,2.33,0.0393826245415935,0.4021301265438152,0.3493313066430599,0.3315711125139329,0.361010848566936,0.3836326149299764,13,0.0638989151433064,TOP_ML,64.76460924805801,12.685142849338485,5.105548279374355,15.440531667069164,3.02426513709538
J002657.56-234837.1,6.7398731,-23.8103328,15.468,13.053,8.725,6.901,0.039,0.027,0.027,0.087,27.6,40.4,40.8,12.5,2.415,261.7265803570078,-217.0,-295.0,366.2157833846051,-143.66205225322557,VERY_HIGH,383,7.515184751538656,0.0924431239402526,0.0571531924640403,6.58978963292688,7.544103596193577,0.0049286302316777,-0.0046711282466392,True,False,VARIABLE,7.082652656094652,False,False,0,0.0,15.468,0.0924431239402526,15.283113752119494,15.652886247880506,0.369772495761012,2.415,0.0741301793301671,0.3498024942482511,0.3145963188964752,0.2982532586879773,0.3208840239442346,0.3385593044391075,14,0.0679115976055765,TOP_ML,37.28020485012553,17.550271267478852,2.124195363248134,26.82388694000518,12.62778716313006
J045820.72-424342.7,74.5863376,-42.7285452,15.487,13.113,8.53,6.764,0.034,0.025,0.021,0.055,31.6,42.7,51.8,19.7,2.3740005,269.22518857796734,259.0,93.0,275.1908428709066,70.24813877128473,HIGH,484,7.984886142283841,0.0405010937767808,0.0110383131700535,13.487381722825996,14.55245472449818,-0.0018329912304842,-0.0023082885087221,True,False,VARIABLE,13.670680845874422,False,False,0,0.0,15.487,0.0405010937767808,15.405997812446438,15.568002187553562,0.1620043751071236,2.3740005,0.071333493791783,0.3505837893589817,0.3120740574400625,0.2995917363959564,0.3207498610650002,0.3197278500969502,15,0.0679250138934999,TOP_ML,33.04751642976437,11.66747733021806,2.8324474515303586,30.25945995443537,10.683149633750954
J203552.30+395036.6,308.9679316,39.843527,10.056,8.551,6.064,4.048,0.023,0.021,0.023,0.082,47.5,52.0,46.5,13.2,1.5050001,241.20082987291363,10.0,-174.0,174.28711943227475,176.71075732150817,HIGH,499,8.295607103045176,0.0411991102660603,0.0419535219709766,0.9094827238004284,0.8435461368742878,0.0026525057380526,0.0074831676841034,False,False,NORMAL,1.174733297605692,False,False,0,0.0,10.056,0.0411991102660603,9.97360177946788,10.13839822053212,0.1647964410642401,1.5050001,0.0480940893522609,0.4180355690790162,0.2925949040263703,0.2749491864143371,0.3285265531732412,0.3169250375169338,16,0.0671473446826758,TOP_ML,,,,,
J070309.70-333124.8,105.7904267,-33.5235725,13.88,11.932,8.47,6.683,0.026,0.021,0.021,0.089,42.0,51.8,51.9,12.2,1.948,268.3321504387535,323.0,460.0,562.0756176885811,35.075529510526486,VERY_HIGH,334,8.462340194915207,0.0614178102138633,0.0356463759354555,12.699034981791678,13.858145780784117,-0.0035580743904444,-0.0010818273031193,True,False,VARIABLE,13.054842420836124,False,False,0,0.0,13.88,0.0614178102138633,13.757164379572274,14.002835620427728,0.2456712408554544,1.948,0.0333528885379154,0.2750065310354359,0.2229224426075367,0.2053807804620258,0.2344365847016661,0.3124146094357855,17,0.0765563415298333,TOP_ML,84.97608990632169,8.95392022586545,9.490378265918515,11.768016169047174,1.2399944279679582
J114337.02-323258.3,175.904285,-32.549528,15.059,12.803,8.539,6.738,0.033,0.025,0.023,0.074,32.7,42.8,47.0,14.6,2.2559996,264.8292253013844,331.0,119.0,351.7413822682796,70.2256456981242,VERY_HIGH,365,10.161259272795352,0.0600997455796091,0.0448993314221744,6.8863562347320535,6.006487449288245,0.0103372105001993,-0.0021192167116611,True,False,VARIABLE,7.920077284751992,False,False,0,0.0,15.059,0.0600997455796091,14.938800508840782,15.179199491159215,0.2403989823184353,2.2559996,0.0618130966138461,0.3274076046933321,0.2849368088746014,0.2567742399430227,0.2897062178369853,0.3123670973876122,18,0.0710293782163014,TOP_ML,33.67467067762175,13.855822427133448,2.430362459876625,29.69591030520582,12.218716671057086
J122218.60+095254.8,185.5775167,9.8819104,12.81,10.954,7.298,5.113,0.024,0.021,0.015,0.03,45.5,51.2,70.2,35.7,1.856,223.06906096870856,207.0,212.0,296.29883563726673,44.31631193205965,HIGH,459,8.085728963394134,0.0513960416998003,0.0837960586643534,5.51676970416967,6.485663855063849,-0.0153944040422761,0.0059143449831193,True,False,VARIABLE,7.0562101083972895,False,False,0,0.0,12.81,0.0513960416998003,12.7072079166004,12.9127920833996,0.205584166799202,1.856,0.0739009325784968,0.3586120550395089,0.2782548954663845,0.2513083058624106,0.2960584187894347,0.3109030776557625,19,0.0703941581210565,TOP_ML,,,,,
J132546.84+672327.6,201.4451896,67.3910233,15.191,13.022,8.479,6.601,0.031,0.025,0.023,0.053,34.7,43.4,47.6,20.5,2.1689997,254.792251483758,428.0,82.0,435.7843503385591,79.15419960183733,VERY_HIGH,312,10.201254171489992,0.0094971482668478,0.0234900560641497,10.288391838920289,9.141069237499794,-0.0081430777278564,0.0034416534611358,True,False,VARIABLE,11.102699611705935,False,False,0,0.0,15.191,0.0094971482668478,15.172005703466304,15.209994296533695,0.0379885930673928,2.1689997,0.0402112111496355,0.3022159414051729,0.2590576425834554,0.2348152599122572,0.2653629479669618,0.3101797603307147,20,0.0734637052033038,TOP_ML,60.37638212309585,9.636699498145893,6.26525524996523,16.562767837946833,2.643590273203753
J000300.44-221910.2,0.7518643,-22.3195223,13.456,11.539,7.821,5.951,0.026,0.021,0.019,0.053,42.4,51.4,55.7,20.4,1.9170008,256.55882706134247,-10.0,-393.0,393.1272058761642,-178.54240664926724,VERY_HIGH,361,9.39691749178074,0.0312434992016975,0.0423465476661756,6.052679862228919,6.2871433668049725,-0.0031142496617374,0.0019485015350587,True,False,VARIABLE,6.3641048284026684,False,False,0,0.0,13.456,0.0312434992016975,13.393513001596604,13.518486998403397,0.1249739968067906,1.9170008,0.0388904576167949,0.3223936957783343,0.2560457900993742,0.2374623759036993,0.2719672872604693,0.3093174000231072,21,0.072803271273953,TOP_ML,33.42801388175589,7.976670402411595,4.1907227195509495,29.9150288598442,7.1383937477614126
J022929.28-704728.3,37.3720214,-70.7911966,14.09,12.188,8.702,7.065,0.025,0.021,0.022,0.081,43.2,51.9,48.7,13.5,1.9020004,293.2601632885946,77.0,-659.0,663.4832326442018,173.33556795650065,VERY_HIGH,311,9.516406642217635,0.0571557472069656,0.0234200997815585,2.3337793412929733,1.8961332955954888,0.0079721382939718,-0.0037047101901265,False,False,NORMAL,3.130993170690157,False,False,0,0.0,14.09,0.0571557472069656,13.975688505586067,14.20431149441393,0.2286229888278619,1.9020004,0.0557833728781563,0.2396376624357289,0.1935149561974385,0.1825297855863334,0.2052274680731669,0.3088792151887443,22,0.0794772531926833,TOP_ML,12.886903957032274,9.408237717350156,1.3697468478360142,77.59815727146074,56.65145891304928
J081416.82-795126.3,123.5701191,-79.8573154,14.775,12.573,8.697,6.886,0.029,0.023,0.021,0.06,37.6,48.1,51.0,18.0,2.2019997,264.03007153448374,-41.0,383.0,385.1882656571978,-6.1102213887846455,VERY_HIGH,395,10.132018060142943,0.0284451044414138,0.0558332538792587,0.8508397987028011,0.8651001961559447,-0.0034302572999921,-0.0001923397866455,False,False,NORMAL,1.1938655287020208,False,False,0,0.0,14.775,0.0284451044414138,14.718109791117172,14.831890208882829,0.1137804177656569,2.2019997,0.0353813992011616,0.3087480165515469,0.2664767507861749,0.2562613729260333,0.277162046754585,0.3080560855128643,23,0.0722837953245415,TOP_ML,-10.801621941400455,2.970237490325744,3.6366189493540633,,
J224224.74-231628.6,340.6030964,-23.2746271,14.668,12.388,8.58,6.985,0.032,0.025,0.025,0.098,33.6,43.7,42.8,11.1,2.2800007,298.92758675045343,-104.0,-225.0,247.87295132789296,-155.19257102685825,HIGH,486,8.547628723837983,0.0670486666959244,0.0287255089439205,8.208234000199266,6.696036997597178,0.000277738494483,0.0023075674780925,True,False,VARIABLE,8.236007849647574,False,False,0,0.0,14.668,0.0670486666959244,14.53390266660815,14.802097333391847,0.2681946667836996,2.2800007,0.0869341465147206,0.342721310228687,0.2987073485714716,0.2926602901423626,0.3113629829808403,0.3068489005465675,24,0.0688637017019159,TOP_ML,26.809329856225933,14.609304209887735,1.8350860158063576,37.30044746969943,20.32626653378381
J222002.70+393201.3,335.0112616,39.5337222,15.291,13.146,8.762,7.2,0.054,0.027,0.027,0.099,20.0,40.2,40.2,10.9,2.1450005,302.01629169939,-104.0,-502.0,512.659731205797,-168.29553511169365,VERY_HIGH,326,9.739474215354072,0.048809492878764,0.0706547782600515,1.46352853386046,1.5784382236101393,-0.0001763177598586,-0.0083016031945817,False,False,NORMAL,1.4811603098463244,False,False,0,0.0,15.291,0.048809492878764,15.193381014242473,15.388618985757528,0.1952379715150556,2.1450005,0.0649250713205444,0.2729308437284918,0.2348392512425935,0.2115847839675269,0.2397849596462041,0.3049440923027974,25,0.0760215040353795,TOP_ML,,,,,
J141359.15+764336.8,213.4964854,76.7268956,15.207,12.844,9.047,7.387,0.029,0.023,0.025,0.082,37.5,47.3,43.9,13.2,2.363,287.16498222101654,281.0,-101.0,298.6000669792289,109.76999015605824,HIGH,351,8.273824883145467,0.0356939258148006,0.0524823963410431,5.586507503532669,6.419893387746596,-0.0052921224342479,-0.0010388900068859,True,False,VARIABLE,6.115719746957463,False,False,0,0.0,15.207,0.0356939258148006,15.1356121483704,15.278387851629605,0.142775703259204,2.363,0.049337460542524,0.3198365516639521,0.286883725757095,0.2810467117553564,0.2959223297254678,0.3035443230550091,26,0.0704077670274532,TOP_ML,-9.931265707329484,10.69128585906954,0.9289121849552532,,
J014259.41-340105.6,25.7475679,-34.0182264,14.853,12.745,8.715,7.096,0.031,0.025,0.025,0.084,35.0,44.1,43.4,12.9,2.1079998,293.28925093651486,-119.0,-397.0,414.4514446832101,-163.3139972216322,VERY_HIGH,328,7.7793083034176975,0.0928788817865065,0.059502394668355,6.483369484459864,5.834171567521292,-0.0075117852604801,0.0026073444312086,True,False,VARIABLE,7.234548010507878,False,False,0,0.0,14.853,0.0928788817865065,14.667242236426986,15.038757763573011,0.3715155271460268,2.1079998,0.1005386485174724,0.2776809970172504,0.2359407757817684,0.217077894161702,0.2435665556535736,0.2877637785701501,28,0.0756433444346426,TOP_ML,43.8379278575543,14.595773212830691,3.00346732018402,22.81129717739788,7.594987641150777
J194522.53+391503.7,296.3438829,39.2510402,14.442,12.37,8.659,7.24,0.03,0.025,0.021,0.084,36.1,43.9,52.3,13.0,2.0720005,342.3521908835632,-168.0,-330.0,370.30257898102735,-153.01976928177714,VERY_HIGH,442,9.08895173506802,0.0509114367980762,0.0415160911638745,2.649044133968734,2.852783776103005,0.0013470341722227,0.0002643191945892,False,False,NORMAL,2.783747551191013,False,False,0,0.0,14.442,0.0509114367980762,14.340177126403848,14.543822873596152,0.2036457471923043,2.0720005,0.0496715420785449,0.2825779385115454,0.2371855873349322,0.2297276491322235,0.249830391659567,0.2833311013266467,29,0.0750169608340433,TOP_ML,21.61704276870536,8.348311933457737,2.589390878181036,46.259796527195846,17.865126859368512
