designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,w1_w2_color,T_eff_K,pmra_value,pmdec_value,pm_total,pm_angle,pm_class,n_epochs,baseline_years,rms_w1,rms_w2,chi2_w1,chi2_w2,trend_w1,trend_w2,is_variable,is_fading,variability_flag,variability_score,ps1_detected,rosat_detected,detection_count,detection_fraction,mag_mean,mag_std,mag_min,mag_max,mag_range,color_mean,color_std,if_score,xgb_score,lgb_score,ml_ensemble_score,improved_composite_score,rank,p_false_positive_proxy,golden_flag,neowise_parallax_mas,neowise_parallax_err_mas,parallax_snr,distance_pc,distance_err_pc,parallax_flag
J043338.57-731619.4,68.4107443,-73.2720817,14.103,10.432,5.502,3.798,0.025,0.021,0.015,0.021,43.8,52.9,73.8,52.7,3.6709995,277.6539536403536,296.0,69.0,303.9358484943821,76.87821645866651,VERY_HIGH,340,7.934684616273669,0.0323228512759773,0.057991997508665,0.7544529949969766,0.8038458753579748,0.0085656726454543,0.0041489846173058,False,False,NORMAL,1.6110202595424157,False,False,0,0.0,14.103,0.0323228512759773,14.038354297448045,14.167645702551956,0.1292914051039098,3.6709995,0.027545559568754,0.9785129666679904,0.9971103025644332,0.9626612597983576,0.9794281763435938,0.8464914341324602,2,0.0020571823656406,TOP_ML,75.12080560667499,2.221313410998472,33.81819298201081,13.311891318576905,0.3936310649613363,SIGNIFICANT
J054235.56-713535.8,85.6482028,-71.5932884,13.004,9.864,5.735,4.275,0.025,0.02,0.012,0.017,44.3,55.3,87.9,62.6,3.1399994,324.14534597832017,420.0,334.0,536.6153184544772,51.5069426706625,VERY_HIGH,332,8.335939392709834,0.0250852244257602,0.0569920419404205,5.592173500695618,5.13836127439215,-0.0091572938292717,0.003445136805313,True,False,VARIABLE,6.507902883622795,False,False,0,0.0,13.004,0.0250852244257602,12.95382955114848,13.05417044885152,0.1003408977030417,3.1399994,0.0457202231154898,0.8376084350608837,0.797171514728962,0.7350534879193601,0.7899444792364019,0.7529512492645158,3,0.0210055520763598,TOP_ML,33.24106292014018,2.268107096435416,14.65586125645576,30.083273883342564,2.0526445602158785,SIGNIFICANT
J143046.35-025927.8,217.6931509,-2.9910653,13.997,10.629,6.104,4.495,0.026,0.02,0.015,0.024,42.0,55.2,71.9,44.4,3.368,293.2347791353745,-5.0,55.0,55.22680508593631,-5.194428907734806,MODERATE,320,9.5,0.08,0.07,13.758507443646906,15.53006555862044,0.0255,0.02,True,True,FADING,16.308507443646906,False,False,0,0.0,13.997,0.08,13.837,14.157,0.3200000000000003,3.368,0.0385850741250104,0.851199718529599,0.8388350103526996,0.7742409067387597,0.8214252118736861,0.674566488518475,4,0.0178574788126313,TOP_ML,57.57587538876341,9.89855817846351,5.816592108740887,17.36838551299146,2.986007130685872,SIGNIFICANT
J055348.26-573136.0,88.4510918,-57.5266895,13.95,11.13,8.062,6.488,0.025,0.021,0.019,0.054,43.9,52.7,57.0,20.3,2.8199997,314.12869994433674,122.0,356.0,376.3243282064023,18.916414628760364,VERY_HIGH,304,8.218685672000918,0.0577063475945767,0.0261418080947869,2.388891800745629,2.366006601618539,0.0023458782605235,-0.0021556401747386,False,False,NORMAL,2.623479626797982,False,False,0,0.0,13.95,0.0577063475945767,13.834587304810846,14.065412695189153,0.2308253903783068,2.8199997,0.063496389843332,0.5572561479045142,0.5200944632617959,0.5034774088618738,0.5269426733427279,0.5057849178786412,6,0.0473057326657272,TOP_ML,23.76085161112955,4.024058632207685,5.904698162435529,42.08603363069703,7.12755037987203,SIGNIFICANT
J044024.40-731441.6,70.1016701,-73.2448907,10.787,8.605,5.619,4.389,0.023,0.019,0.014,0.022,48.1,55.8,77.6,48.8,2.1820002,465.84525315486167,164.0,22.0,165.46903033498444,82.35959323897325,HIGH,380,9.3,0.09,0.08,13.056284027324844,16.8509876190667,0.03,0.025,True,True,FADING,16.056284027324843,False,False,0,0.0,10.787,0.09,10.607,10.967,0.3599999999999994,2.1820002,0.0815490655952694,0.6267994468854061,0.5106827445079284,0.463627338315779,0.5337031765697045,0.4799521406340844,7,0.0466296823430295,TOP_ML,32.756129120619505,1.4070859534311193,23.279408795706527,30.52863774952317,1.311400904440221,SIGNIFICANT
J024626.34-024715.2,41.6097542,-2.7875736,12.402,9.989,6.295,4.339,0.024,0.021,0.015,0.021,46.1,52.8,72.0,50.9,2.413,246.2492527210198,-52.0,65.0,83.24061508662703,-38.65980825409009,MODERATE,350,9.393415877991789,0.0502046612203917,0.0591854165217041,2.792810779245679,2.261507329697791,-0.0068343713372226,0.0008764021152354,False,False,NORMAL,3.476247912967941,False,False,0,0.0,12.402,0.0502046612203917,12.301590677559217,12.502409322440784,0.2008186448815685,2.413,0.0538817998579661,0.6026144123087497,0.51598526893367,0.4747141998006828,0.5311046270143676,0.4564759557065193,8,0.0468895372985632,TOP_ML,41.455672879294205,6.969952151128822,5.947770082263798,24.122150975855185,4.055662986669112,SIGNIFICANT
J053400.20-355942.2,83.5008423,-35.9950702,15.104,12.641,7.977,6.239,0.034,0.024,0.018,0.053,32.3,45.3,61.6,20.6,2.4630003,273.05199672671057,135.0,320.0,347.3110997362451,22.87366519062672,VERY_HIGH,361,7.752419894985146,0.043309975283181,0.0446409987471527,5.111301521314204,4.158444469846601,-0.0033483627441501,0.0031875810218819,True,False,VARIABLE,5.446137795729223,False,False,0,0.0,15.104,0.043309975283181,15.017380049433635,15.19061995056636,0.1732399011327245,2.4630003,0.0601454806221459,0.4254938844186645,0.3790229784974313,0.3593114653107952,0.3879427760756304,0.3900060535941154,12,0.0612057223924369,TOP_ML,63.02870599022987,10.7518680800788,5.862116752251665,15.865786617212336,2.7064944776335644,SIGNIFICANT
J233511.78+110741.9,353.7990993,11.12833,14.556,12.226,7.974,6.155,0.031,0.024,0.021,0.053,34.8,44.6,51.1,20.6,2.33,262.4565397530719,150.0,-389.0,416.9184572551328,158.91315561367418,VERY_HIGH,335,10.19164727385998,0.0626783804463602,0.0370588523699572,0.7604475054337371,0.757230801426759,-0.0003704739020988,-0.0001895946852656,False,False,NORMAL,0.7974948956436246,False,False,0,0.0,14.556,0.0626783804463602,14.430643239107278,14.68135676089272,0.2507135217854426,2.33,0.0393826245415935,0.4021301265438152,0.3493313066430599,0.3315711125139329,0.361010848566936,0.3836326149299764,13,0.0638989151433064,TOP_ML,64.76460924805801,12.685142849338485,5.105548279374355,15.440531667069164,3.02426513709538,SIGNIFICANT
J002657.56-234837.1,6.7398731,-23.8103328,15.468,13.053,8.725,6.901,0.039,0.027,0.027,0.087,27.6,40.4,40.8,12.5,2.415,261.7265803570078,-217.0,-295.0,366.2157833846051,-143.66205225322557,VERY_HIGH,383,7.515184751538656,0.0924431239402526,0.0571531924640403,6.58978963292688,7.544103596193577,0.0049286302316777,-0.0046711282466392,True,False,VARIABLE,7.082652656094652,False,False,0,0.0,15.468,0.0924431239402526,15.283113752119494,15.652886247880506,0.369772495761012,2.415,0.0741301793301671,0.3498024942482511,0.3145963188964752,0.2982532586879773,0.3208840239442346,0.3385593044391075,14,0.0679115976055765,TOP_ML,37.28020485012553,17.550271267478852,2.124195363248134,26.82388694000518,12.62778716313006,SIGNIFICANT
J045820.72-424342.7,74.5863376,-42.7285452,15.487,13.113,8.53,6.764,0.034,0.025,0.021,0.055,31.6,42.7,51.8,19.7,2.3740005,269.22518857796734,259.0,93.0,275.1908428709066,70.24813877128473,HIGH,484,7.984886142283841,0.0405010937767808,0.0110383131700535,13.487381722825996,14.55245472449818,-0.0018329912304842,-0.0023082885087221,True,False,VARIABLE,13.670680845874422,False,False,0,0.0,15.487,0.0405010937767808,15.405997812446438,15.568002187553562,0.1620043751071236,2.3740005,0.071333493791783,0.3505837893589817,0.3120740574400625,0.2995917363959564,0.3207498610650002,0.3197278500969502,15,0.0679250138934999,TOP_ML,33.04751642976437,11.66747733021806,2.8324474515303586,30.25945995443537,10.683149633750954,SIGNIFICANT
